epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
159,1045.83,1.15509,1.21302,1.10244,0.70947,0.42536,0.44906,0.28878,1.15597,4.69285,0.9791,0.000435047,0.000435047,0.000435047
160,1053.39,1.20091,1.255,1.12014,0.74569,0.40909,0.44129,0.28389,1.15213,5.48117,0.96958,0.000432048,0.000432048,0.000432048
161,1059.33,1.23276,1.27213,1.12464,0.7737,0.40203,0.44432,0.28305,1.14123,5.42976,0.96774,0.000429048,0.000429048,0.000429048
162,1066.92,1.25304,1.24505,1.13237,0.75253,0.43095,0.46236,0.30143,1.15587,4.3206,0.97652,0.000426048,0.000426048,0.000426048
163,1072.66,1.20992,1.19638,1.12408,0.82497,0.42731,0.47936,0.30894,1.12983,4.14735,0.97245,0.000423049,0.000423049,0.000423049
164,1080.06,1.18313,1.24684,1.108,0.7969,0.44201,0.4765,0.31459,1.11382,4.11249,0.96112,0.000420049,0.000420049,0.000420049
165,1086.08,1.24315,1.19366,1.10172,0.771,0.42711,0.46901,0.29191,1.18038,4.35208,0.97405,0.000417049,0.000417049,0.000417049
166,1093.29,1.23116,1.21529,1.12411,0.75774,0.45878,0.48071,0.3138,1.12556,3.51315,0.98804,0.000414049,0.000414049,0.000414049
167,1099.3,1.24135,1.22012,1.13189,0.80848,0.4411,0.48809,0.32471,1.12237,3.47063,0.96892,0.00041105,0.00041105,0.00041105
168,1106.2,1.22443,1.24349,1.12885,0.82538,0.44581,0.48421,0.30733,1.14889,3.99763,0.9766,0.00040805,0.00040805,0.00040805
169,1112.59,1.25291,1.23628,1.12087,0.81778,0.42866,0.48003,0.30331,1.11161,3.74255,0.96919,0.00040505,0.00040505,0.00040505
170,1118.99,1.18219,1.24582,1.10846,0.74821,0.47688,0.48985,0.31484,1.11905,4.23383,0.99454,0.000402051,0.000402051,0.000402051
171,1126.2,1.18754,1.23048,1.11475,0.76115,0.44103,0.4807,0.30339,1.08412,4.15828,0.97844,0.000399051,0.000399051,0.000399051
172,1132.06,1.1506,1.13672,1.08233,0.69492,0.48146,0.48249,0.30601,1.09188,3.05735,0.99264,0.000396051,0.000396051,0.000396051
173,1139.43,1.22826,1.26955,1.14282,0.73536,0.46164,0.48831,0.31115,1.11263,2.7084,0.99658,0.000393052,0.000393052,0.000393052
174,1145.17,1.18566,1.13801,1.10264,0.71231,0.45136,0.47783,0.31128,1.11903,2.62264,1.00098,0.000390052,0.000390052,0.000390052
175,1152.83,1.20287,1.13474,1.11012,0.79252,0.42164,0.48388,0.30772,1.12883,3.82293,0.97638,0.000387052,0.000387052,0.000387052
176,1158.66,1.18828,1.18169,1.10816,0.74006,0.43979,0.46942,0.31089,1.08763,4.39489,0.97312,0.000384052,0.000384052,0.000384052
177,1166.54,1.19388,1.20238,1.11663,0.70769,0.43915,0.45351,0.29624,1.1061,3.69499,0.98364,0.000381053,0.000381053,0.000381053
178,1172.2,1.12971,1.12027,1.0868,0.70784,0.47944,0.46907,0.30959,1.10952,3.37334,0.97657,0.000378053,0.000378053,0.000378053
179,1179.32,1.20856,1.22858,1.11838,0.80982,0.44283,0.48415,0.30685,1.13742,4.42435,1.00827,0.000375053,0.000375053,0.000375053
